articleId,recordKey,publishedAt,sourceName,sourceHost,title,label,sentiment_score,evento,evento_chave,evento_id,tipo_evento,local,data_evento,descricao_curta,event_confidence,model
1563,a-1563,2019-07-08 21:52:50+00:00,Diario do Rio,diariodorio.com,Segurança Presente chega a novas áreas a partir de agosto,positivo,1,"Expansão do programa Segurança Presente para Grajaú, Catete e Largo do Machado",expansao_seguranca_presente_2019,expansao-seguranca-presente-2019,expansao,"Grajaú, Catete e Largo do Machado, Rio de Janeiro",2019-08-01,"O programa Segurança Presente será expandido para as regiões do Grajaú, Catete e Largo do Machado a partir de agosto de 2019.",0.95,gpt-4o-mini
1562,a-1562,2019-07-16 18:10:15+00:00,Diario do Rio,diariodorio.com,Segurança Presente será expandido para 5 bairros do Rio,positivo,1,Expansão do programa Segurança Presente para 5 bairros do Rio de Janeiro,expansao_seguranca_presente_2019,expansao-seguranca-presente-2019,expansao,Rio de Janeiro,2019-07-16,"O programa Segurança Presente será expandido para novos bairros no Rio de Janeiro, incluindo Laranjeiras, Barra da Tijuca e Botafogo.",0.95,gpt-4o-mini
1107,a-1107,2019-07-24 07:00:00+00:00,Google News,oglobo.globo.com,Segurança Presente diminui número de PMs em unidades para expandir áreas,negativo,-1,Expansão do programa Segurança Presente para novas áreas no Rio de Janeiro,expansao_seguranca_presente_2019,expansao-seguranca-presente-2019,expansão,"Rio de Janeiro, Brasil",2019-07-24,"O governo do estado anunciou a expansão do programa Segurança Presente para novas áreas, reduzindo o número de PMs em unidades existentes.",0.95,gpt-4o-mini
1561,a-1561,2019-07-25 20:55:25+00:00,Diario do Rio,diariodorio.com,Operação Segurança Presente terá efetivo dobrado pelo Governo do Estado,positivo,1,Dobro do efetivo da Operação Segurança Presente anunciado pelo governador Wilson Witzel,dobro_efetivo_seguranca_presente_2019,dobro-efetivo-seguranca-presente-2019,anuncio,Rio de Janeiro,2019-07-22,Anúncio do aumento do efetivo da Operação Segurança Presente de mil para 2 mil agentes pelo governador Wilson Witzel.,0.95,gpt-4o-mini
1560,a-1560,2019-07-30 17:57:49+00:00,Diario do Rio,diariodorio.com,Wilson Witzel apostando em Pedro Fernandes para prefeito em 2020,neutro,0,Apoio de Wilson Witzel a Pedro Fernandes para prefeito do Rio de Janeiro em 2020,apoio_witzel_pedro_fernandes_2020,apoio-witzel-pedro-fernandes-2020,apoio político,Rio de Janeiro,2019-07-30,Wilson Witzel manifesta apoio a Pedro Fernandes como candidato a prefeito do Rio em 2020.,0.9,gpt-4o-mini
1559,a-1559,2019-07-31 14:52:33+00:00,Diario do Rio,diariodorio.com,Segurança Presente apreende mais de 50 objetos cortantes em 1 dia de operação,positivo,1,Apreensão de 55 objetos cortantes pela Operação Segurança Presente no Rio de Janeiro,apreensao_objetos_cortantes_seguranca_presente_2019,apreensao-objetos-cortantes-seguranca-presente-2019,operação policial,Rio de Janeiro,30/07/2019,"Operação Segurança Presente apreendeu 55 objetos cortantes, incluindo 36 facas, em diversas localidades do Rio de Janeiro.",0.95,gpt-4o-mini
1558,a-1558,2019-07-31 21:32:45+00:00,Diario do Rio,diariodorio.com,"Editorial: Witzel está certo, usuário de droga na rua é para internar ou prender",positivo,1,Apreensão de dezenas de armas brancas pela Segurança Presente no Rio de Janeiro,apreensao_armas_seguranca_presente_rio_2019,apreensao-armas-seguranca-presente-rio-2019,Apreensão,Rio de Janeiro,31/07/2019,"A Segurança Presente apreendeu dezenas de armas brancas, muitas delas com moradores de rua.",0.9,gpt-4o-mini
1557,a-1557,2019-08-11 01:09:01+00:00,Diario do Rio,diariodorio.com,Governo do Estado quer o controle da ordem urbana em praias e praças do Rio,negativo,-1,Lançamento da Marcha da Ordem e da Cidadania pelo Governo do Estado do Rio de Janeiro,marcha_ordem_cidadania_2019,marcha-ordem-cidadania-2019,lançamento de projeto,Praias e praças do Rio de Janeiro,2019-08-10,"O Governo do Estado do Rio de Janeiro, sob a liderança do governador Wilson Witzel, anuncia o lançamento da Marcha da Ordem e da Cidadania, visando coibir a utilização irregular do espaço público.",0.9,gpt-4o-mini
1030,a-1030,2019-08-16 07:00:00+00:00,Google News,novaiguacu.rj.gov.br,Inaugurada base do Segurança Presente em Nova Iguaçu - Prefeitura de Nova Iguaçu,positivo,1,Inauguração da base do Segurança Presente em Nova Iguaçu,inauguracao_seguranca_presente_nova_iguacu,inauguracao-seguranca-presente-nova-iguacu,inauguracao,"Praça Rui Barbosa, Nova Iguaçu, RJ",2019-08-16,"Inauguração da primeira base do programa Segurança Presente na Baixada Fluminense, com a presença do prefeito Rogerio Lisboa e do governador Wilson Witzel.",1.0,gpt-4o-mini
1085,a-1085,2019-09-05 07:00:00+00:00,Google News,oglobo.globo.com,Laranjeiras terá Segurança Presente a partir desta sexta-feira,positivo,1,Chegada do programa Segurança Presente ao bairro das Laranjeiras,seguranca_presente_laranjeiras_2019,seguranca-presente-laranjeiras-2019,inauguracao,"Laranjeiras, Rio de Janeiro",06/09/2019,Início do patrulhamento do programa Segurança Presente em Laranjeiras com 69 agentes.,0.95,gpt-4o-mini
1556,a-1556,2019-09-05 19:32:33+00:00,Diario do Rio,diariodorio.com,Rodrigo Pimentel: Estado de Turismo para salvar o Rio,negativo,-1,Proposta de criação de zonas verdes de segurança no Rio de Janeiro,zonas_verdes_seguranca_rio_2019,zonas-verdes-seguranca-rio-2019,proposta,Rio de Janeiro,2019-09-05,Rodrigo Pimentel sugere a criação de zonas verdes de segurança para proteger turistas e melhorar a segurança pública no Rio de Janeiro.,0.9,gpt-4o-mini
1555,a-1555,2019-09-05 22:07:48+00:00,Diario do Rio,diariodorio.com,Laranjeiras Presente começa a circular no bairro nesta sexta,positivo,1,Inauguração do programa Segurança Presente no bairro de Laranjeiras,inauguracao_seguranca_presente_laranjeiras,inauguracao-seguranca-presente-laranjeiras,inauguração,"Laranjeiras, Rio de Janeiro",2019-09-06,Inauguração do programa Segurança Presente com 69 agentes de patrulhamento no bairro de Laranjeiras.,0.95,gpt-4o-mini
1554,a-1554,2019-09-12 19:55:58+00:00,Diario do Rio,diariodorio.com,Abrigos da Prefeitura têm vagas para apenas 15% das pessoas em situação de rua,muito negativo,-2,Insuficiência de vagas em abrigos para pessoas em situação de rua no Rio de Janeiro,insuficiencia_vagas_abrigos_rio_2019,insuficiencia-vagas-abrigos-rio-2019,relato de situação,Rio de Janeiro,2019-09-12,"A Prefeitura do Rio de Janeiro possui apenas 2,3 mil vagas em abrigos para uma população estimada de 15 mil pessoas em situação de rua.",0.95,gpt-4o-mini
1553,a-1553,2019-09-19 17:37:48+00:00,Diario do Rio,diariodorio.com,"Felipe Lucena: Põe a mão na cabecinha, Witzel",muito negativo,-2,Ampliação do programa Segurança Presente no Rio de Janeiro,ampliacao_seguranca_presente_rio_2019,ampliacao-seguranca-presente-rio-2019,ampliacao,Rio de Janeiro,2019,"O programa Segurança Presente é ampliado no estado do Rio de Janeiro, visando melhorar a segurança pública.",alta,gpt-4o-mini
1552,a-1552,2019-09-20 17:15:53+00:00,Diario do Rio,diariodorio.com,Segurança Presente começa em Bangu nesta sexta-feira,positivo,1,Inauguração da Operação Segurança Presente em Bangu,inauguracao_seguranca_presente_bangu_2019,inauguracao-seguranca-presente-bangu-2019,inauguração,"Bangu, Rio de Janeiro",20/09/2019,"Inauguração da Operação Segurança Presente em Bangu, com 60 agentes fixos e ações sociais.",0.95,gpt-4o-mini
1551,a-1551,2019-10-05 17:04:34+00:00,Diario do Rio,diariodorio.com,Botafogo ganha Segurança Presente,positivo,1,Inauguração da base do Segurança Presente em Botafogo,inauguracao_seguranca_presente_botafogo,inauguracao-seguranca-presente-botafogo,inauguração,"Praça Nelson Mandela, Botafogo, Rio de Janeiro",2019-10-04,Botafogo recebe a base do programa Segurança Presente com 58 agentes fixos.,0.95,gpt-4o-mini
1550,a-1550,2019-10-25 20:20:59+00:00,Diario do Rio,diariodorio.com,Segurança presente terá investimento de 200 milhões em 2020,positivo,1,Anúncio de investimento de R$ 200 milhões no programa Segurança Presente em 2020,investimento_seguranca_presente_2020,investimento-seguranca-presente-2020,anuncio,Rio de Janeiro,2019-10-24,O secretário de Governo Cleiton Rodrigues anunciou um investimento de R$ 200 milhões para o programa Segurança Presente em 2020 durante evento da Frente Parlamentar de Defesa do Segurança Presente.,0.95,gpt-4o-mini
1020,a-1020,2019-10-30 07:00:00+00:00,Google News,novaiguacu.rj.gov.br,Segurança Presente inaugura sua segunda base em Nova Iguaçu - Prefeitura de Nova Iguaçu,positivo,1,Inauguração da segunda base do Segurança Presente em Nova Iguaçu,inauguracao_segurança_presente_nova_iguacu_2019,inauguracao-seguranca-presente-nova-iguacu-2019,inauguração,"bairro de Austin, Nova Iguaçu",30/10/2019,"Inauguração da segunda base do programa Segurança Presente em Nova Iguaçu, com a presença do prefeito Rogerio Lisboa e do governador Wilson Witzel.",1,gpt-4o-mini
1059,a-1059,2019-10-30 07:00:00+00:00,Google News,novaiguacu.rj.gov.br,Segurança Presente inaugura base em Austin - Prefeitura de Nova Iguaçu,positivo,1,Inauguração da base do Segurança Presente em Austin,inauguracao_base_seguranca_presente_austin,inauguracao-base-seguranca-presente-austin,inauguração,"Austin, Nova Iguaçu, Rio de Janeiro",30/10/2019,"Inauguração da segunda base do programa Segurança Presente em Austin, Nova Iguaçu.",0.95,gpt-4o-mini
1549,a-1549,2019-10-30 14:55:48+00:00,Diario do Rio,diariodorio.com,Baixada Fluminense recebe segundo ponto de operação do Segurança Presente,positivo,1,"Inauguração da segunda base do Segurança Presente em Austin, Nova Iguaçu",inauguracao_segurança_presente_austin_nova_iguacu_2019,inauguracao-seguranca-presente-austin-nova-iguacu-2019,inauguração,"Austin, Nova Iguaçu",30/10/2019,Inauguração da segunda base do programa Segurança Presente na Baixada Fluminense.,0.95,gpt-4o-mini
1066,a-1066,2019-11-26 08:00:00+00:00,Google News,oglobo.globo.com,"Segurança Presente chega à Barra sexta-feira, ao custo de R$ 18 milhões por ano",positivo,1,Inauguração do programa Segurança Presente na Barra,inauguracao_seguranca_presente_barra,inauguracao-seguranca-presente-barra,inauguração,"Barra da Tijuca, Rio de Janeiro",29/11/2019,"Lançamento do programa Segurança Presente na Barra, com 138 agentes e custo de R$ 18 milhões por ano.",0.95,gpt-4o-mini
1548,a-1548,2019-11-29 21:40:56+00:00,Diario do Rio,diariodorio.com,"Inaugurado na Barra, programa ‘Segurança Presente’ também será inserido no Recreio",positivo,1,Inauguração do programa 'Segurança Presente' na Barra da Tijuca,inauguracao_seguranca_presente_barra,inauguracao-seguranca-presente-barra,inauguracao,"Barra da Tijuca, Rio de Janeiro",29/11/2019,Lançamento oficial do programa 'Segurança Presente' na Barra da Tijuca com a presença do governador Wilson Witzel.,0.95,gpt-4o-mini
1116,a-1116,2019-11-29 23:01:13+00:00,Google News,voltaredonda.rj.gov.br,Prefeitura acerta implementação do programa estadual operação Segurança Presente - Prefeitura de Volta Redonda,positivo,1,Implementação do programa Segurança Presente em Volta Redonda,implementacao_seguranca_presente_volta_redonda_2019,implementacao-seguranca-presente-volta-redonda-2019,implementacao,"Volta Redonda, RJ",2019-11-29,Prefeito Samuca Silva encaminha ações para a implementação do programa Segurança Presente em Volta Redonda.,0.95,gpt-4o-mini
1547,a-1547,2019-12-19 18:49:31+00:00,Diario do Rio,diariodorio.com,Segurança Presente atuará na noite e na madrugada em Copacabana e no Leme,positivo,1,Ampliação do programa Segurança Presente com patrulhamento noturno em Copacabana e Leme,ampliacao_seguranca_presente_copacabana_leme_2019,ampliacao-seguranca-presente-copacabana-leme-2019,ampliacao,"Copacabana e Leme, Rio de Janeiro",2019-12-19,Segurança Presente inicia patrulhamento noturno em Copacabana e Leme com 40 agentes.,0.95,gpt-4o-mini
1546,a-1546,2019-12-20 16:23:44+00:00,Diario do Rio,diariodorio.com,Witzel inaugura Segurança Presente no Grajaú e em Vila Isabel,positivo,1,Inauguração do programa Segurança Presente no Grajaú e Vila Isabel,inauguracao_seguranca_presente_grajau_vila_isabel_2019,inauguracao-seguranca-presente-grajau-vila-isabel-2019,inauguracao,"Grajaú e Vila Isabel, Rio de Janeiro",20/12/2019,Lançamento oficial do programa Segurança Presente com a presença do governador Wilson Witzel.,1.0,gpt-4o-mini
1545,a-1545,2019-12-20 17:13:35+00:00,Diario do Rio,diariodorio.com,Recreio ganha unidade da Operação Segurança Presente,positivo,1,Inauguração da unidade da Operação Segurança Presente no Recreio dos Bandeirantes,inauguracao_seguranca_presente_recreio_2019,inauguracao-seguranca-presente-recreio-2019,inauguração,"Recreio dos Bandeirantes, Rio de Janeiro",2019-12-19,"Inauguração da 18ª unidade do programa Segurança Presente na Praça Tim Maia, visando melhorar a segurança na região.",0.95,gpt-4o-mini
1544,a-1544,2019-12-20 18:27:59+00:00,Diario do Rio,diariodorio.com,Witzel anuncia que UPPs serão fortalecidas a partir de 2020,neutro,0,Lançamento da Operação Segurança Presente para os bairros do Grajaú e Vila Isabel,lancamento_seguranca_presente_grajau_vila_isabel_2019,lancamento-seguranca-presente-grajau-vila-isabel-2019,lançamento,"Grajaú e Vila Isabel, Rio de Janeiro",20/12/2019,Lançamento da Operação Segurança Presente pelo governador Wilson Witzel.,0.95,gpt-4o-mini
1543,a-1543,2020-01-17 21:00:54+00:00,Diario do Rio,diariodorio.com,Segurança Presente inaugura base em Copacabana,positivo,1,Inauguração da base da Operação Segurança Presente em Copacabana,inauguracao_base_seguranca_presente_copacabana_2020,inauguracao-base-seguranca-presente-copacabana-2020,inauguração,"Copacabana, Rio de Janeiro, RJ",2020-01-20T09:30:00Z,"Inauguração da 19ª base do programa Segurança Presente em Copacabana, com patrulhamento diário.",1.0,gpt-4o-mini
1542,a-1542,2020-01-22 20:33:14+00:00,Diario do Rio,diariodorio.com,Bonsucesso recebe base da Operação Segurança Presente,positivo,1,Inauguração da base da Operação Segurança Presente em Bonsucesso,inauguracao_seguranca_presente_bonsucesso_2020,inauguracao-seguranca-presente-bonsucesso-2020,inauguração,"Bonsucesso, Rio de Janeiro",2020-01-22,"Inauguração da base da Operação Segurança Presente na Zona Norte do Rio de Janeiro, com a participação do governador Wilson Witzel.",1.0,gpt-4o-mini
1112,a-1112,2020-01-23 08:00:00+00:00,Google News,oglobo.globo.com,Segurança Presente chega a Bonsucesso com poucos policiais,negativo,-1,Inauguração do Segurança Presente em Bonsucesso com presença do governador Wilson Witzel,inauguracao_seguranca_presente_bonsucesso_2020,inauguracao-seguranca-presente-bonsucesso-2020,inauguracao,"Bonsucesso, Rio de Janeiro",2020-01-22,Inauguração do programa Segurança Presente em Bonsucesso com a presença do governador Wilson Witzel.,0.95,gpt-4o-mini
1541,a-1541,2020-01-24 15:05:32+00:00,Diario do Rio,diariodorio.com,21ª base no estado: Operação Segurança Presente chega a São Gonçalo,positivo,1,Inauguração da 21ª base do Segurança Presente em São Gonçalo,inauguracao_base_seguranca_presente_sao_goncalo_2020,inauguracao-base-seguranca-presente-sao-goncalo-2020,inauguracao,"São Gonçalo, Rio de Janeiro",2020-01-24,"Inauguração da 21ª base do programa Segurança Presente na Praça Zé Garoto, em São Gonçalo.",alta,gpt-4o-mini
1540,a-1540,2020-01-24 15:30:24+00:00,Diario do Rio,diariodorio.com,Witzel diz que chegada do metrô ou das barcas em São Gonçalo será decidida este ano,neutro,0,Lançamento da Operação Segurança Presente em São Gonçalo,lancamento_seguranca_presente_sao_goncalo_2020,lancamento-seguranca-presente-sao-goncalo-2020,inauguracao,"São Gonçalo, Rio de Janeiro",2020-01-24,Lançamento da Operação Segurança Presente pelo governador Wilson Witzel.,0.95,gpt-4o-mini
1539,a-1539,2020-01-27 15:34:06+00:00,Diario do Rio,diariodorio.com,"‘Menina dos olhos’ de Witzel, Operação Segurança Presente ganhará Fundo Estadual de Fomento",positivo,1,Criação do Fundo Estadual de Fomento para a Operação Segurança Presente,Fundo_Estado_Seguranca_Presente_2020,fundo-estado-seguranca-presente-2020,sancao de lei,Rio de Janeiro,27/01/2020,"Sancionada a lei 8.529/20 que cria um Fundo Estadual de Fomento para a Operação Segurança Presente, visando fortalecer a segurança pública no Rio de Janeiro.",0.95,gpt-4o-mini
1538,a-1538,2020-01-27 16:46:54+00:00,Diario do Rio,diariodorio.com,"Visando aumentar segurança no RJ, Witzel aprova criação do Programa Estadual de Videomonitoramento",positivo,1,Criação do Programa Estadual de Videomonitoramento no Rio de Janeiro,criacao_programa_videomonitoramento_rj_2020,criacao-programa-videomonitoramento-rj-2020,aprovação de programa,Rio de Janeiro,27/01/2020,Aprovação pelo governador Wilson Witzel da criação do Programa Estadual de Videomonitoramento para aumentar a segurança no RJ.,0.95,gpt-4o-mini
1537,a-1537,2020-01-30 19:01:00+00:00,Diario do Rio,diariodorio.com,Madureira recebe unidade da Operação Segurança Presente,positivo,1,Inauguração da 22ª unidade da Operação Segurança Presente em Madureira,inauguracao_seguranca_presente_madureira_2020,inauguracao-seguranca-presente-madureira-2020,inauguracao,"Madureira, Zona Norte do Rio de Janeiro",2020-01-28,Inauguração da 22ª unidade da Operação Segurança Presente pelo governador Wilson Witzel.,1.0,gpt-4o-mini
1536,a-1536,2020-02-03 23:52:16+00:00,Diario do Rio,diariodorio.com,Jacarepaguá recebe base da Operação Segurança Presente a partir desta terça,positivo,1,Inauguração da base do programa Segurança Presente em Jacarepaguá,inauguracao_seguranca_presente_jacarepagua_2020,inauguracao-seguranca-presente-jacarepagua-2020,inauguração,"Jacarepaguá, Rio de Janeiro",2020-02-04,"Inauguração da base do programa Segurança Presente em Jacarepaguá, com reforço no policiamento na região.",0.95,gpt-4o-mini
1535,a-1535,2020-02-10 19:23:32+00:00,Diario do Rio,diariodorio.com,Segurança Presente chega a Queimados e Belford Roxo,positivo,1,Inauguração das bases da Operação Segurança Presente em Queimados e Belford Roxo,inauguracao_seguranca_presente_queimados_belford_roxo_2020,inauguracao-seguranca-presente-queimados-belford-roxo-2020,inauguração,"Queimados e Belford Roxo, Baixada Fluminense, Rio de Janeiro",2020-02-10,Inauguração de bases da Operação Segurança Presente em Queimados e Belford Roxo com 80 policiais militares.,0.95,gpt-4o-mini
1534,a-1534,2020-02-17 17:08:42+00:00,Diario do Rio,diariodorio.com,Witzel promete contratação de 2.000 jovens para o programa Segurança Presente,positivo,1,Contratação de 2.000 jovens para o programa Segurança Presente,contratacao_jovens_seguranca_presente_2020,contratacao-jovens-seguranca-presente-2020,contratação,"Irajá, Zona Norte do Rio de Janeiro",2020-02-17,Governador Wilson Witzel anuncia a contratação de 2.000 jovens para atuar no programa Segurança Presente durante a inauguração da base em Irajá.,0.95,gpt-4o-mini
1533,a-1533,2020-03-04 19:21:17+00:00,Diario do Rio,diariodorio.com,Operação Segurança Presente chega a São João de Meriti,positivo,1,Inauguração da Operação Segurança Presente em São João de Meriti,inauguracao_seguranca_presente_sao_joao_de_meriti_2020,inauguracao-seguranca-presente-sao-joao-de-meriti-2020,inauguração,"São João de Meriti, Rio de Janeiro",2020-03-05,Inauguração da Operação Segurança Presente com 46 policiais militares para patrulhamento na região.,0.95,gpt-4o-mini
1532,a-1532,2020-03-26 00:42:58+00:00,Diario do Rio,diariodorio.com,"Governo do Estado contingencia R$ 7,6 bilhões e suspende novas despesas não essenciais",neutro,0,"Contingenciamento de R$ 7,6 bilhões pelo Governo do Estado do Rio de Janeiro",contingenciamento_rj_2020,contingenciamento-rj-2020,contingenciamento,Rio de Janeiro,2020-03-25,"Governo do Estado do Rio de Janeiro anuncia contingenciamento emergencial de R$ 7,6 bilhões e suspende novas despesas não essenciais, preservando o programa Segurança Presente.",0.9,gpt-4o-mini
1531,a-1531,2020-04-17 13:31:29+00:00,Diario do Rio,diariodorio.com,Drone da Prefeitura criado para evitar algomerações faz justamente o contrário e reúne curiosos em Campo Grande,negativo,-1,Teste do Drone Falante da Prefeitura em Campo Grande,teste_drone_campo_grande_2020,teste-drone-campo-grande-2020,teste,"Campo Grande, Zona Oeste do Rio de Janeiro",2020-04-16,Teste do Drone Falante da Prefeitura que atraiu curiosos em vez de dispersar aglomerações.,0.9,gpt-4o-mini
1530,a-1530,2020-04-23 19:52:56+00:00,Diario do Rio,diariodorio.com,Operação Segurança Presente e RioSolidario distribuem máscaras de proteção ao Coronavírus,positivo,1,Distribuição de máscaras de proteção ao Coronavírus pela Operação Segurança Presente e RioSolidario,distribuicao_mascaras_seguranca_presente_2020,distribuicao-mascaras-seguranca-presente-2020,distribuição,"Rio de Janeiro, Méier, Bangu e Duque de Caxias",2020-04-23,Agentes da Operação Segurança Presente distribuem máscaras para a população em vulnerabilidade social durante a pandemia de Covid-19.,0.95,gpt-4o-mini
1529,a-1529,2020-05-19 14:20:12+00:00,Diario do Rio,diariodorio.com,Governo do Estado cria comitê para fiscalizar hospitais de campanha,neutro,0,Criação do Comitê de Supervisão dos Hospitais de Campanha,comite_supervisao_hospitais_campanha_2020,comite-supervisao-hospitais-campanha-2020,Criação de comitê,"Palácio Guanabara, Rio de Janeiro - RJ",2020-05-18,O Governo do Rio de Janeiro cria um comitê para fiscalizar hospitais de campanha durante a pandemia de Covid-19.,0.9,gpt-4o-mini
1528,a-1528,2020-06-04 21:53:02+00:00,Diario do Rio,diariodorio.com,Adicional de pensão será estendido a servidores estaduais mortos por Covid-19,positivo,1,Sancionamento da lei que estende adicional de pensão a servidores estaduais mortos por Covid-19,sancionamento_adicional_pensao_covid19,sancionamento-adicional-pensao-covid19,sancionamento de lei,Rio de Janeiro,2020-06-04,"O governador Wilson Witzel sancionou lei que estende adicional de 100% na pensão por morte de servidores da segurança pública, saúde e assistência social falecidos por Covid-19.",0.95,gpt-4o-mini
1527,a-1527,2020-06-21 14:38:37+00:00,Diario do Rio,diariodorio.com,Operação Centro Presente e Comlurb recolhem cobertores de moradores de rua no Largo da Carioca,muito negativo,-2,Recolhimento de cobertores de moradores de rua no Largo da Carioca,recolhimento_cobertores_largo_carioca_2020,recolhimento-cobertores-largo-carioca-2020,ação de segurança,"Largo da Carioca, Rio de Janeiro",19/06/2020,"Operação Centro Presente e Comlurb recolhem cobertores de moradores de rua no Largo da Carioca, gerando controvérsia.",0.95,gpt-4o-mini
1526,a-1526,2020-06-30 21:34:04+00:00,Diario do Rio,diariodorio.com,Alerj aprova PL que garante alojamento a profissionais de saúde enquanto durar a pandemia,positivo,1,Aprovação do PL que garante alojamento a profissionais de saúde durante a pandemia,Aprovacao_PL_Alojamento_Profissionais_Saude_2020,aprovacao-pl-alojamento-profissionais-saude-2020,aprovação de projeto de lei,Rio de Janeiro,30/06/2020,A Assembleia Legislativa do Estado do Rio de Janeiro (Alerj) aprovou um projeto de lei que garante alojamento a profissionais de saúde durante a pandemia de Covid-19.,0.95,gpt-4o-mini
